"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"77077","Chambry",41,101,5,105,3,4,91,143,3,53,7,677,103,574,17,1,556
"77078","Chamigny",19,125,9,109,7,6,154,231,7,44,7,900,161,739,20,1,718
"77079","Champagne-sur-Seine",184,584,37,321,7,15,667,796,31,176,23,3798,873,2925,60,24,2841
"77080","Champcenest",4,20,1,21,0,0,20,43,0,8,1,146,26,120,2,0,118
"77081","Champdeuil",21,63,1,61,0,4,46,119,2,32,1,415,59,356,5,1,350
"77082","Champeaux",34,94,6,96,2,4,79,128,2,48,5,592,81,511,12,1,498
"77083","Champs-sur-Marne",898,3111,145,1624,30,91,3109,1573,53,464,104,14486,2993,11493,219,72,11202
"77084","Changis-sur-Marne",31,144,13,130,1,8,145,204,5,54,8,921,159,762,14,5,743
"77085","Chanteloup-en-Brie",128,501,19,306,4,15,335,334,11,95,16,2210,393,1817,39,14,1764
"77094","Charmentray",6,18,3,35,0,1,27,48,5,15,2,197,33,164,4,0,160
"77095","Charny",26,149,7,107,1,8,127,217,4,74,8,872,115,757,22,7,728
"77096","Chartrettes",88,468,11,441,2,15,307,242,4,102,7,1982,276,1706,5,14,1687
"77097","Chartronges",7,29,2,37,0,1,20,77,2,19,0,237,39,198,4,0,194
"77335","Chauconin-Neufmontiers",58,288,13,178,5,11,286,343,6,92,12,1580,252,1328,28,8,1292
"77106","Chauffry",48,91,8,91,0,9,96,197,4,30,19,789,164,625,20,12,593
"77107","Chaumes-en-Brie",90,317,15,295,8,19,267,490,2,139,11,2140,460,1680,18,9,1653
"77108","Chelles",1589,6115,389,3732,37,166,5864,4404,139,1183,224,31745,7233,24512,484,186,23842
"77109","Chenoise",27,117,6,110,3,8,101,292,3,64,8,922,161,761,14,8,739
"77110","Chenou",7,19,1,57,0,1,20,69,1,5,0,222,36,186,4,2,180
"77111","Chessy",126,718,23,481,4,13,460,446,11,152,18,2984,476,2508,40,16,2452
"77112","Chevrainvilliers",4,28,2,29,0,1,24,46,0,20,0,179,24,155,0,1,154
"77113","Chevru",34,78,7,76,0,10,111,251,6,28,7,771,145,626,17,1,608
"77114","Chevry-Cossigny",102,598,20,419,7,18,361,521,9,179,17,2843,543,2300,38,11,2251
"77115","Chevry-en-Sereine",17,66,3,57,0,1,45,107,2,22,3,375,50,325,2,0,323
"77116","Choisy-en-Brie",25,137,4,175,0,6,112,260,0,52,3,962,166,796,18,4,774
"77099","Château-Landon",82,289,15,302,3,11,290,476,15,95,13,2154,517,1637,32,14,1591
"77098","Châteaubleau",14,40,3,17,1,1,32,81,2,16,2,283,66,217,6,2,209
"77101","Châtenay-sur-Seine",18,87,3,97,0,8,87,220,2,41,4,771,181,590,20,3,567
"77102","Châtenoy",5,18,5,16,0,0,14,22,2,5,0,112,19,93,6,0,87
"77103","Châtillon-la-Borde",5,40,3,26,0,3,24,37,0,11,1,182,28,154,3,1,150
