"","link","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"1120","095/095024.html","Arthies",31,18.02,50,172
"1121","095/095026.html","Asnières-sur-Oise",275,17.08,318,1610
"1122","095/095028.html","Attainville",179,17.88,257,1001
"1123","095/095039.html","Auvers-sur-Oise",871,20.01,958,4353
"1124","095/095040.html","Avernes",62,11.59,73,535
"1125","095/095042.html","Baillet-en-France",220,17.64,232,1247
"1126","095/095046.html","Banthelu",8,9.76,11,82
"1127","095/095051.html","Beauchamp",816,16.39,1045,4980
"1128","095/095052.html","Beaumont-sur-Oise",1053,25.53,1157,4125
"1129","095/095055.html","Bellefontaine",51,20.9,51,244
"1130","095/095056.html","Belloy-en-France",169,16.27,224,1039
"1131","095/095058.html","Bernes-sur-Oise",315,24.96,237,1262
"1132","095/095059.html","Berville",32,14.61,39,219
"1133","095/095060.html","Bessancourt",732,19.49,1005,3755
"1134","095/095063.html","Bezons",3477,32.23,3669,10788
"1135","095/095074.html","Boisemont",75,14.94,71,502
"1136","095/095078.html","Boissy-l'Aillerie",199,19.08,176,1043
"1137","095/095088.html","Bonneuil-en-France",95,25.61,112,371
"1138","095/095091.html","Bouffémont",803,24.7,740,3251
"1139","095/095094.html","Bouqueval",23,14.84,37,155
"1140","095/095101.html","Bray-et-Lû",86,17.17,110,501
"1141","095/095110.html","Brignancourt",21,14.38,20,146
"1142","095/095116.html","Bruyères-sur-Oise",474,25.19,624,1882
"1143","095/095102.html","Bréançon",24,8.92,33,269
"1144","095/095119.html","Buhy",19,10.86,48,175
"1145","095/095120.html","Butry-sur-Oise",243,18.44,274,1318
"1146","095/095061.html","Béthemont-la-Forêt",47,16.67,41,282
"1147","095/095127.html","Cergy",7409,32.2,8169,23011
"1148","095/095134.html","Champagne-sur-Oise",562,20.01,782,2809
"1149","095/095141.html","Charmont",0,0,1,15
"1150","095/095142.html","Chars",235,21.5,187,1093
"1151","095/095149.html","Chaumontel",343,16.25,533,2111
"1152","095/095150.html","Chaussy",73,19.36,66,377
"1153","095/095151.html","Chauvry",12,7.06,45,170
"1154","095/095154.html","Chennevières-lès-Louvres",34,19.88,27,171
"1155","095/095144.html","Châtenay-en-France",4,8.33,7,48
"1156","095/095157.html","Chérence",21,14.89,14,141
"1157","095/095166.html","Cléry-en-Vexin",57,19.59,45,291
"1158","095/095169.html","Commeny",70,22.73,37,308
